id,nomeParlamentar,nomeCompleto,cargo,partido,mandato,sexo,uf,telefone,email,nascimento,fotoURL,gastoTotal,gastoPorDia
4935,GARIBALDI ALVES,GARIBALDI ALVES,SENADOR,PMDB,2011-2018,Masculino,RN,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4935.jpg,329438.36824703217,225.48827395416302
87,GARIBALDI ALVES FILHO,GARIBALDI ALVES FILHO,SENADOR,PMDB,2011-2018,Masculino,RN,,,,http://www.senado.leg.br/senadores/img/fotos/bemv87.jpg,0.0,0.0
4522,GEOVANI BORGES,GEOVANI BORGES,SENADOR,PMDB,2011-2018,Masculino,AP,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4522.jpg,315031.4192504883,215.62725479157308
30,GILVAM BORGES,GILVAM BORGES,SENADOR,PMDB,2011-2018,Masculino,AP,,,,http://www.senado.leg.br/senadores/img/fotos/bemv30.jpg,44730.0,30.61601642710472
5006,GLEISI HOFFMANN,GLEISI HOFFMANN,SENADOR,PT,2011-2018,Feminino,PR,,,,http://www.senado.leg.br/senadores/img/fotos/bemv5006.jpg,297504.95948445797,203.6310468750568
5100,HÉLIO JOSÉ,HÉLIO JOSÉ,SENADOR,PSD,2011-2018,Masculino,DF,,,,http://www.senado.leg.br/senadores/img/fotos/bemv5100.jpg,0.0,0.0
5008,HUMBERTO COSTA,HUMBERTO COSTA,SENADOR,PT,2011-2018,Masculino,PE,,,,http://www.senado.leg.br/senadores/img/fotos/bemv5008.jpg,1445758.1397519987,989.567515230663
613,INÁCIO ARRUDA,INÁCIO ARRUDA,SENADOR,PCdoB,2011-2018,Masculino,CE,,,,http://www.senado.leg.br/senadores/img/fotos/bemv613.jpg,1403856.9888691902,960.8877404991035
1754,ITAMAR FRANCO,ITAMAR FRANCO,SENADOR,PPS,2011-2018,Masculino,MG,,,,http://www.senado.leg.br/senadores/img/fotos/bemv1754.jpg,0.0,0.0
5004,IVO CASSOL,IVO CASSOL,SENADOR,PP,2011-2018,Masculino,RO,,,,http://www.senado.leg.br/senadores/img/fotos/bemv5004.jpg,1331706.4807465076,911.5034091351866
4937,IVONETE DANTAS,IVONETE DANTAS,SENADOR,PMDB,2011-2018,Feminino,RN,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4937.jpg,274269.22009658813,187.72705003188784
35,JADER BARBALHO,JADER BARBALHO,SENADOR,PMDB,2011-2018,Masculino,PA,,,,http://www.senado.leg.br/senadores/img/fotos/bemv35.jpg,1163161.2904629502,796.1405136638948
4545,JARBAS VASCONCELOS,JARBAS VASCONCELOS,SENADOR,PMDB,2011-2018,Masculino,PE,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4545.jpg,1181033.5985078812,808.3734418260651
4531,JAYME CAMPOS,JAYME CAMPOS,SENADOR,DEM,2011-2018,Masculino,MT,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4531.jpg,743232.0695587397,508.714626665804
950,JOÃO ALBERTO SOUZA,JOÃO ALBERTO SOUZA,SENADOR,PMDB,2011-2018,Masculino,MA,,,,http://www.senado.leg.br/senadores/img/fotos/bemv950.jpg,1091971.3121795654,747.4136291441242
3394,JOÃO CAPIBERIBE,JOÃO CAPIBERIBE,SENADOR,PSB,2011-2018,Masculino,AP,,,,http://www.senado.leg.br/senadores/img/fotos/bemv3394.jpg,1335507.5474072695,914.1050974724637
5166,JOÃO COSTA,JOÃO COSTA,SENADOR,PPL,2011-2018,Masculino,TO,,,,http://www.senado.leg.br/senadores/img/fotos/bemv5166.jpg,146349.21008777618,100.17057500874482
4537,JOÃO DURVAL,JOÃO DURVAL,SENADOR,PDT,2011-2018,Masculino,BA,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4537.jpg,1300079.129740715,889.8556671736585
4774,JOÃO PEDRO,JOÃO PEDRO,SENADOR,PT,2011-2018,Masculino,AM,,,,http://www.senado.leg.br/senadores/img/fotos/bemv4774.jpg,65268.249958992004,44.67368238124025
